plec;m.zamieszkania;p1;p2;p3;p4;p5;p6;p7;p8;p9;p10;p11;p12;p13;p14;p15;p16;p17;p18;p19;p20;p21;p22;p23;p24;p25;p26;p27;p28;p29;p30;p31;p32;p33;p34;p35;p36;uwagi;kierunek;rok;miejsce;uwagi.x
Kobieta;Kwidzyn ;Dobrze;Dobrze;Dobrze;Źle;Źle;Dobrze;Nie mam zdania/Nie wiem ;Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Dobrze;Źle;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Dobrze;Źle;Źle;Dobrze;Dobrze;;Źle;Źle;;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Dobrze;Dobrze;Dobrze;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie;Tak;;PO;1;KWI;
Kobieta;Sztum;Dobrze;Źle;Nie mam zdania/Nie wiem ;Dobrze;Dobrze;Źle;Nie mam zdania/Nie wiem ;Źle;Źle;Nie mam zdania/Nie wiem ;Źle;Bardzo Źle;Dobrze;Dobrze;Nie mam zdania/Nie wiem ;Bardzo Dobrze;Dobrze;Bardzo Dobrze;Bardzo Dobrze;Dobrze;Źle;Terminowe wpisywanie ocen do indeksów ;Nie mam zdania/Nie wiem ;Źle;Wersję mobilną lub najlepiej aplikację na telefon;Nie mam zdania/Nie wiem ;Dobrze;Dobrze;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie;Nie;;PO;1;KWI;
Kobieta;Kwidzyn;Bardzo Dobrze;Dobrze;Bardzo Dobrze;Dobrze;Dobrze;Bardzo Dobrze;Nie mam zdania/Nie wiem ;Dobrze;Bardzo Dobrze;Dobrze;Dobrze;Źle;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Bardzo Dobrze;Dobrze;Bardzo Dobrze;Dobrze;;Dobrze;Nie mam zdania/Nie wiem ;;Dobrze;Dobrze;Dobrze;Nie mam zdania/Nie wiem ;Źle;Nie mam zdania/Nie wiem ;Bardzo Dobrze;Nie mam zdania/Nie wiem ;Dobrze;Nie;Tak;;PO;1;KWI;
Kobieta;Grudziądz;Dobrze;Dobrze;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Dobrze;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Dobrze;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;;Dobrze;Nie mam zdania/Nie wiem ;;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Dobrze;Dobrze;Dobrze;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie;Tak;;PO;1;KWI;
Kobieta;Nowe;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Bardzo Źle;Nie mam zdania/Nie wiem ;Dobrze;Nie mam zdania/Nie wiem ;Źle;Bardzo Źle;Dobrze;Dobrze;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Źle;Źle;Źle;Źle;Dobrze;Nie mam zdania/Nie wiem ;;Źle;Nie mam zdania/Nie wiem ;;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Dobrze;Dobrze;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie;Nie;;PO;1;KWI;
Kobieta;Kwidzyn;Dobrze;Dobrze;Źle;Źle;Dobrze;Bardzo Dobrze;Nie mam zdania/Nie wiem ;Dobrze;Bardzo Dobrze;Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Dobrze;Bardzo Dobrze;Dobrze;Dobrze;Bardzo Dobrze;Plan zajęć ;Bardzo Dobrze;Bardzo Dobrze;;Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Dobrze;Nie;Nie;;PO;1;KWI;
Kobieta;Grudziądz ;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Źle;Bardzo Dobrze;Dobrze;Bardzo Dobrze;Dobrze;Dobrze;Źle;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;;Dobrze;Dobrze;;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Nie mam zdania/Nie wiem ;Dobrze;Nie mam zdania/Nie wiem ;Nie;Nie;;PO;1;KWI;
Kobieta;Prabuty ;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Źle;Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Szybsze udostępnianie planu zajęć ;Dobrze;Nie mam zdania/Nie wiem ;;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie;Nie;;PO;1;KWI;
Kobieta;Kisielice;Dobrze;Dobrze;Nie mam zdania/Nie wiem ;Dobrze;Dobrze;Dobrze;Nie mam zdania/Nie wiem ;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Bardzo Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;.;Dobrze;Dobrze;.;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Dobrze;Nie mam zdania/Nie wiem ;Nie;Nie;.;PO;1;KWI;
Mężczyzna;Warszawa;Dobrze;Dobrze;Dobrze;Dobrze;Nie mam zdania/Nie wiem ;Dobrze;Nie mam zdania/Nie wiem ;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;;Dobrze;Dobrze;;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie;Nie;;PO;1;KWI;
Kobieta;Grudziądz ;Nie mam zdania/Nie wiem ;Dobrze;Źle;Źle;Źle;Bardzo Źle;Nie mam zdania/Nie wiem ;Źle;Źle;Źle;Dobrze;Źle;Źle;Dobrze;Dobrze;Nie mam zdania/Nie wiem ;Dobrze;Źle;Źle;Źle;Źle;;Źle;Źle;;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Źle;Dobrze;Dobrze;Dobrze;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie;Nie;;PO;1;KWI;
Mężczyzna;Brzozowo (Kijewo Królewskie) ;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;;Bardzo Dobrze;Bardzo Dobrze;;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Nie;Nie;;PO;1;KWI;
Kobieta;Grudziądz;Dobrze;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Bardzo Dobrze;Źle;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Dobrze;Nie mam zdania/Nie wiem ;Dobrze;Dobrze;Nie mam zdania/Nie wiem ;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Nie mam zdania/Nie wiem ;;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Dobrze;Dobrze;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie;Nie;;PO;1;KWI;
Mężczyzna;Kwidzyn ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Źle;Źle;Dobrze;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Bardzo Dobrze;Nie mam zdania/Nie wiem ;Bardzo Dobrze;Nie mam zdania/Nie wiem ;Dobrze;Dobrze;Dobrze;Dobrze;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Dobrze;Źle;Nie mam zdania/Nie wiem ;;Nie mam zdania/Nie wiem ;Dobrze;;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Nie mam zdania/Nie wiem ;Bardzo Dobrze;Nie mam zdania/Nie wiem ;Nie;Nie;;PO;1;KWI;
Kobieta;Bytonia;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;.;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;.;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie;Nie;.;PO;1;KWI;
Kobieta;Grudziądz;Dobrze;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Dobrze;Dobrze;Dobrze;Dobrze;Źle;Nie mam zdania/Nie wiem ;Dobrze;Dobrze;Dobrze;Dobrze;Źle;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Dobrze;Dobrze;Nie mam zdania/Nie wiem ;;Dobrze;Nie mam zdania/Nie wiem ;;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie;Nie;;PO;1;KWI;
Kobieta;Gniew;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Niczego ;Bardzo Dobrze;Bardzo Dobrze;;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Nie;Nie;;PO;1;KWI;
Kobieta;Prabuty;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie;Tak;;PO;1;KWI;
Mężczyzna;Świecie ;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Bardzo Dobrze;Bardzo Dobrze;Dobrze;Bardzo Dobrze;Dobrze;Brak uwag ;Bardzo Dobrze;Dobrze;Brak uwag ;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Nie;Tak;Brak ;PO;1;KWI;
Mężczyzna;Prabuty ķ;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Dobrze;Dobrze;Dobrze;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Dobrze;Dobrze;Dobrze;Nie mam zdania/Nie wiem ;Dobrze;Dobrze;Dobrze;;Dobrze;Dobrze;;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Nie;Nie;;PO;1;KWI;
Kobieta;Starogard Gdański;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Nie mam zdania/Nie wiem ;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;;Bardzo Dobrze;Bardzo Dobrze;;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Nie;Nie;;PO;1;KWI;
Kobieta;Kurzetnik;Dobrze;Dobrze;Dobrze;Dobrze;Nie mam zdania/Nie wiem ;Źle;Bardzo Dobrze;Dobrze;Dobrze;Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;;Bardzo Dobrze;Bardzo Dobrze;;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Nie;Nie;;PO;1;KWI;
Kobieta;Starogard gdański;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Nie mam zdania/Nie wiem ;Dobrze;Dobrze;Dobrze;Dobrze;;Dobrze;Dobrze;;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Nie;Nie;;PO;1;KWI;
Kobieta;Kurzętnik;Dobrze;Dobrze;Dobrze;Dobrze;Nie mam zdania/Nie wiem ;Bardzo Dobrze;Nie mam zdania/Nie wiem ;Dobrze;Dobrze;Dobrze;Bardzo Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Bardzo Dobrze;Dobrze;Bardzo Dobrze;;Dobrze;Dobrze;;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Bardzo Dobrze;Nie mam zdania/Nie wiem ;Nie;Nie;;PO;1;KWI;
Kobieta;Olsztyn;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;;Bardzo Dobrze;Bardzo Dobrze;;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Nie;Nie;;PO;1;KWI;
Kobieta;Olsztyn;Dobrze;Dobrze;Nie mam zdania/Nie wiem ;Dobrze;Dobrze;Dobrze;Bardzo Dobrze;Dobrze;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Bardzo Dobrze;Źle;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Możliwość sprawdzania ocen bez wcześniejszsego wypełnienia ankiet;Dobrze;Dobrze;;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie;Nie;;PO;1;KWI;
Kobieta;kwidzyn;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Nie mam zdania/Nie wiem ;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Nie mam zdania/Nie wiem ;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;nie mam zdania;Nie mam zdania/Nie wiem ;Dobrze;nie zmieniałabym nic;Dobrze;Dobrze;Nie mam zdania/Nie wiem ;Dobrze;Dobrze;Dobrze;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie;Nie;zbyt długa;PO;1;KWI;
Kobieta;Kwidzyn ;Dobrze;Nie mam zdania/Nie wiem ;Dobrze;Dobrze;Dobrze;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Źle;Dobrze;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Źle;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Nie mam zdania/Nie wiem ;Dobrze;Dobrze;Dobrze;Nie mam zdania ;Źle;Źle;;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Dobrze;Dobrze;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie;Nie;Za długa ;PO;1;KWI;
Kobieta;Starogard gdanski;Dobrze;Dobrze;Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Nie mam zdania/Nie wiem ;Dobrze;Dobrze;Nie mam zdania/Nie wiem ;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Dobrze;;Dobrze;Dobrze;;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Nie;Nie;;PO;1;KWI;
Kobieta;Grudziądz ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Nie mam zdania/Nie wiem ;Dobrze;Dobrze;Dobrze;Dobrze;;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie;Nie;;PO;1;KWI;
Kobieta;Tczew;Dobrze;Dobrze;Dobrze;Dobrze;Nie mam zdania/Nie wiem ;Źle;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Dobrze;Nie mam zdania/Nie wiem ;Dobrze;Dobrze;Nie mam zdania/Nie wiem ;Dobrze;Źle;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;;Dobrze;Dobrze;;Nie mam zdania/Nie wiem ;Dobrze;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie;Tak;;PO;1;KWI;
Mężczyzna;Tczew;Bardzo Dobrze;Bardzo Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Nie mam zdania/Nie wiem ;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;;Bardzo Dobrze;Bardzo Dobrze;;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Dobrze;Bardzo Dobrze;Dobrze;Nie;Tak;;PO;1;KWI;
Kobieta;Grudziadz;Źle;Źle;Dobrze;Dobrze;Dobrze;Dobrze;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Źle;Źle;Dobrze;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Źle;Źle;Nie mam zdania/Nie wiem ;;Bardzo Dobrze;Bardzo Dobrze;;Bardzo Dobrze;Dobrze;Źle;Dobrze;Bardzo Dobrze;Dobrze;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie;Nie;;PO;1;KWI;
Kobieta;Grudziądz;Bardzo Dobrze;Nie mam zdania/Nie wiem ;Dobrze;Dobrze;Dobrze;Źle;Nie mam zdania/Nie wiem ;Bardzo Dobrze;Bardzo Dobrze;Nie mam zdania/Nie wiem ;Dobrze;Źle;Dobrze;Nie mam zdania/Nie wiem ;Dobrze;Dobrze;Dobrze;Bardzo Dobrze;Dobrze;Bardzo Dobrze;Dobrze;;Dobrze;Dobrze;;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Nie mam zdania/Nie wiem ;Bardzo Dobrze;Nie mam zdania/Nie wiem ;Nie;Tak;;PO;1;KWI;
Mężczyzna;Starogard gd;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;;Dobrze;Dobrze;;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Nie;Nie;;PO;1;KWI;
Kobieta;Susz;Dobrze;Dobrze;Dobrze;Źle;Dobrze;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Źle;Źle;Bardzo Dobrze;Bardzo Źle;Dobrze;Bardzo Źle;Źle;Źle;Dobrze;Dobrze;Dobrze;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Dobrze;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie;Nie;;PO;1;KWI;
Kobieta;malbork;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Dobrze;Nie mam zdania/Nie wiem ;Dobrze;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Dobrze;Nie mam zdania/Nie wiem ;Dobrze;Dobrze;Dobrze;Dobrze;Nie mam zdania/Nie wiem ;Nie;Nie;;PO;1;KWI;
Kobieta;prabuty;Dobrze;Dobrze;Bardzo Dobrze;Dobrze;Dobrze;Dobrze;Nie mam zdania/Nie wiem ;Dobrze;Nie mam zdania/Nie wiem ;Nie mam zdania/Nie wiem ;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Nie mam zdania/Nie wiem ;Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;nie mam zdania5;Dobrze;Dobrze;nie mam zdania;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Bardzo Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Dobrze;Nie;Nie;;PO;1;KWI;
